rank,asin,title,price,rating,reviews_count,url
#1,B0H8WLRM4T,2025 年最後一期林肯 Cent Penny Rolls P & D 套組 (100 枚硬幣) – ERA 原創收藏卷 – 輝煌的未流通鑄幣發行硬幣,"TWD 1,265.72",4.8 顆星，最高 5 顆星，6 個評分,N/A,https://www.amazon.com/dp/B0H8WLRM4T
#2,B0H5QRQF87,"唐納德·特朗普美國 250 挑戰硬幣,1776-2026 收藏硬幣 | Donald Trump America 250 Challenge 硬幣,鋅合金收藏紀念品,適用於愛國展示和禮物",TWD 316.51,4.9 顆星，最高 5 顆星，12 個評分,N/A,https://www.amazon.com/dp/B0H5QRQF87
#3,B0HF5GS3GP,"2026 P, D U.S. Constitution Quarter 2 Coin Set Semiquincentennial Coin Collection Uncirculated",TWD 474.92,N/A,N/A,https://www.amazon.com/dp/B0HF5GS3GP
#4,B0H5YQWTJD,2026 P & D 套組 • New ing Liberty Dime 宣言獨立 DOI 硬幣卷 • 美國 250,"TWD 1,677.59",4.5 顆星，最高 5 顆星，17 個評分,N/A,https://www.amazon.com/dp/B0H5YQWTJD
#5,B0H8MS9872,2026 年獨立宣言季度 1776-2026 年美國 250 週年紀念 1 年發行無流通四分之一卷 P&D 套組 - 您將獲得費城和丹佛鑄幣卷,"TWD 2,216.19",4.1 顆星，最高 5 顆星，9 個評分,N/A,https://www.amazon.com/dp/B0H8MS9872
#6,B0H5YQPL7Q,2026 P & D 套組 • Mayflower Compact 四分之一宣言獨立 DOI 硬幣捲 • 美國 250,"TWD 2,089.46",4.2 顆星，最高 5 顆星，14 個評分,N/A,https://www.amazon.com/dp/B0H5YQPL7Q
#7,B0HF5HRJCK,"2026 P, D U.S. Constitution Quarter 2 Coin Set Semiquincentennial Coin Collection Uncirculated",TWD 474.92,N/A,N/A,https://www.amazon.com/dp/B0HF5HRJCK
#8,B0H3Q8D5V7,"2026 P,D BU 250 Anniversary Semiquincentennial Quarters Declaration of Independence Choice Uncirculated US Mint 2 Coin Set",TWD 188.51,4.6 顆星，最高 5 顆星，37 個評分,N/A,https://www.amazon.com/dp/B0H3Q8D5V7
#9,B0HGBWL5N7,"2026 P, D U.S. Constitution Quarter Two 40 Coin Rolls Semiquincentennial Coin Collection SemiQ","TWD 2,629.33",N/A,N/A,https://www.amazon.com/dp/B0HGBWL5N7
#10,B0H8VB7GMM,2026 P & D 套組 • 革命戰爭季度宣言獨立 DOI 硬幣卷 • 美國 250,"TWD 2,216.19",4.8 顆星，最高 5 顆星，7 個評分,N/A,https://www.amazon.com/dp/B0H8VB7GMM
