rank,asin,title,price,rating,reviews_count,url
#1,B0H39B5YC5,"Zeagoo 女款 七分袖 V 領 T 恤休閒上衣 | 商務工作上衣,外出襯衫,初秋時尚服裝,柔軟基本款 T 恤",TWD 349.77,4.1 顆星，最高 5 顆星，353 個評分,N/A,https://www.amazon.com/dp/B0H39B5YC5
#2,B0GYNLZ5RL,Zeagoo 女款 上衣 七分袖 寬鬆 洋裝 長版上衣 大尺碼 波西米亞風 襯衫 | 女款夏季上衣、秋季服裝、休閒襯衫、圓領束腰外衣、不對稱下擺,TWD 300.67,4.1 顆星，最高 5 顆星，994 個評分,N/A,https://www.amazon.com/dp/B0GYNLZ5RL
#3,B0FWTN2MNZ,adidas 愛迪達 Kids Own the Game 3.0 籃球鞋,"TWD 1,424.13",4.5 顆星，最高 5 顆星，297 個評分,N/A,https://www.amazon.com/dp/B0FWTN2MNZ
#4,B0H5Q5GKR1,"BORIFLORS 女款優雅皺褶花卉長版婚禮賓客禮服 | 美人魚荷葉邊,雞尾酒正式返校節,長禮服","TWD 1,552.13",3.9 顆星，最高 5 顆星，406 個評分,N/A,https://www.amazon.com/dp/B0H5Q5GKR1
#5,B0H269GD3H,Zeagoo 女款羊毛混紡毛衣圓領長袖上衣時尚服裝 | Zeagoo 女款羊毛混紡圓領毛衣長袖柔軟針織套頭衫輕量商務休閒黑色時尚服裝,TWD 591.83,4.2 顆星，最高 5 顆星，82 個評分,N/A,https://www.amazon.com/dp/B0H269GD3H
#6,B0HCC42M7J,"BESTENA 收腹塑身短褲,高腰塑身衣 | 束腰塑身短褲採用高腰控制和無縫的連身裙舒適,使腹部和大腿平滑。",TWD 303.52,4.8 顆星，最高 5 顆星，74 個評分,N/A,https://www.amazon.com/dp/B0HCC42M7J
#7,B0H41B3D7R,"LOMON 女款 上衣 洋裝 V 領 長袖 輕量 針織 秋季 毛衣 | 女款秋季服裝,可愛泡泡袖,商務休閒裝、工作辦公室上衣,初秋時尚柔軟針織冬季服裝",TWD 308.27,4.2 顆星，最高 5 顆星，48 個評分,N/A,https://www.amazon.com/dp/B0H41B3D7R
#8,B0GZ49VZRJ,"Trendy Queen 女款超大號運動衫,附按扣亨利領 | 柔軟刷毛套頭上衣秋冬服裝 2026 可愛時尚服裝",TWD 791.75,4.2 顆星，最高 5 顆星，57 個評分,N/A,https://www.amazon.com/dp/B0GZ49VZRJ
#9,B0GWZQLFWT,"Zeagoo 女款 法蘭絨襯衫 長袖 鈕扣 休閒 秋季 格紋上衣 | 法蘭絨格子襯衫,輕盈寬鬆襯衫,商務休閒服裝,2026 年時尚秋季西部短外套外套",TWD 569.97,4.2 顆星，最高 5 顆星，369 個評分,N/A,https://www.amazon.com/dp/B0GWZQLFWT
#10,B0H4T1QLLT,"TCOT 開襟毛衣 女款 輕量 開襟衫 2026 秋季服裝 | 長袖針織開襟羊毛衫,V 領鈕扣開襟毛衣,連衣裙,商務休閒,教師服裝",TWD 430.25,4.8 顆星，最高 5 顆星，51 個評分,N/A,https://www.amazon.com/dp/B0H4T1QLLT
