rank,asin,title,price,rating,reviews_count,url
#1,B0H1YJM5W8,"STANLEY Quencher ProTour Flipstraw Tumbler, 30 oz, Sorbet Garden | Built-In Straw & Handle | Cupholder Compatible for Travel | Leakproof Insulated Stainless Steel Cup | BPA-Free",$30.00,4.7 out of 5 stars,20,https://www.amazon.com/dp/B0H1YJM5W8
#2,B0GH9R927H,"GORILLA GRIP Upgraded Model Stainless Steel Manual Can Opener, Black | US Designed, Oversized Handheld Turn Knob, Comfortable Handle for Easy Turning, Multifunctional Kitchen Tool, Open Bottles",$12.98,4.4 out of 5 stars,6,https://www.amazon.com/dp/B0GH9R927H
#3,B0HDRYPTGR,"Vacuum Sealer for Food, 4-in-1 Food Sealer Machine Digital Timer | 75kPa Suction, with Digital Timer, 4-in-1 Food Sealer Machine with Seal/Dry/Moist/Pulse Modes, Compact, for Food Storage",$24.99,4.5 out of 5 stars,20 ratings,https://www.amazon.com/dp/B0HDRYPTGR
#4,B0H6JWDY5D,Frost Buddy Togo Buddy 30oz Tumbler - Stainless Steel (Emeraldglitz-one) | Double-wall vacuum insulated | Spill-proof flip lid | 18/8 premium stainless steel | Cup-holder friendly,$39.99,4.6 out of 5 stars,3,https://www.amazon.com/dp/B0H6JWDY5D
#5,B0H6DGPMD8,"DicraoLea 6-pack 16 oz Overnight Oats Containers with Lids | Mason Jars with Airtight Lids, Wide mouth Mason Salad jars, Yogurt Parfaits, Smoothies, Salads (16oz - 6pcs)",$14.99,4.8 out of 5 stars,324 ratings,https://www.amazon.com/dp/B0H6DGPMD8
#6,B0H6WZ1JYN,"Multifunctional Can Opener Manual, Durable Heavy Duty Handheld Strong Can Opener with Smooth Cutting Edge, Friendly Kitchen Essentials Tool for Seniors, Camping and Bottle Opening-Black",$6.99,4.1 out of 5 stars,136 ratings,https://www.amazon.com/dp/B0H6WZ1JYN
#7,B0H4P1GTFT,"STANLEY Assembly Lunch Box 3.5L, Insulated Lunch Bag, Rose Quartz",$26.81,4.6 out of 5 stars,53 ratings,https://www.amazon.com/dp/B0H4P1GTFT
#8,B0HCV5T2RF,"3 Pcs Egg Shell Opener, Egg Separator Egg Cracker Egg Peeler for Raw Eggs, Hard Boiled Egg Peeler Tool for Cutting Eggs,Quickly Cutting Off Eggs Breaker Kitchen Gadgets for Cooking Bakery",N/A,3.5 out of 5 stars,6 ratings,https://www.amazon.com/dp/B0HCV5T2RF
#9,B0HCBL1TGD,"Titanium Cutting Boards for Kitchen, Non-Toxic Pure Titanium Chopping & Kneading Board with Cutting Mat, Dishwasher Safe for Meat, Fruit, Vegetables & Bread,20 * 16",$39.98,5.0 out of 5 stars,13 ratings,https://www.amazon.com/dp/B0HCBL1TGD
#10,B0GY282NLC,"Bentgo Kids Prints Double-Insulated Reusable Lunch Bag | For Kids 3+, Adjustable Strap; Holds Lunch Box/Water Bottle/Snacks; Easy-Clean, Water-Resistant, Pocket (NEW Blooming Floral)",$24.99,4.8 out of 5 stars,21,https://www.amazon.com/dp/B0GY282NLC
